DEBUG 2024-10-16 15:58:54,631 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\core\checks\__init__.py first seen with mtime 1727298294.2433448
DEBUG 2024-10-16 15:58:54,631 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\requests\__init__.py first seen with mtime 1727300772.0402844
DEBUG 2024-10-16 15:58:54,631 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\urllib3\filepost.py first seen with mtime 1727300770.1726182
DEBUG 2024-10-16 15:58:54,631 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\core\__init__.py first seen with mtime 1727298294.2222888
DEBUG 2024-10-16 15:58:54,631 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\packaging\utils.py first seen with mtime 1727300791.2137702
DEBUG 2024-10-16 15:58:54,631 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\utils\timesince.py first seen with mtime 1727298294.703944
DEBUG 2024-10-16 15:58:54,631 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\rest_framework\utils\representation.py first seen with mtime 1727298361.9291694
DEBUG 2024-10-16 15:58:54,633 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\coreapi\codecs\__init__.py first seen with mtime 1727300773.824995
DEBUG 2024-10-16 15:58:54,633 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\contrib\admin\checks.py first seen with mtime 1727298290.0839703
DEBUG 2024-10-16 15:58:54,633 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\Lib\re\__init__.py first seen with mtime 1717692852.0
DEBUG 2024-10-16 15:58:54,633 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\Lib\importlib\metadata\_adapters.py first seen with mtime 1717692852.0
DEBUG 2024-10-16 15:58:54,633 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\drf_spectacular\utils.py first seen with mtime 1729004022.2675865
DEBUG 2024-10-16 15:58:54,633 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\requests\exceptions.py first seen with mtime 1727300772.053291
DEBUG 2024-10-16 15:58:54,633 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\jinja2\async_utils.py first seen with mtime 1727300772.53646
DEBUG 2024-10-16 15:58:54,633 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\Lib\asyncio\subprocess.py first seen with mtime 1717692852.0
DEBUG 2024-10-16 15:58:54,633 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\Lib\operator.py first seen with mtime 1717692852.0
DEBUG 2024-10-16 15:58:54,633 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\dispatch\__init__.py first seen with mtime 1727298294.4884534
DEBUG 2024-10-16 15:58:54,633 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\db\backends\base\creation.py first seen with mtime 1727298294.351474
DEBUG 2024-10-16 15:58:54,633 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\rest_framework_simplejwt\utils.py first seen with mtime 1727301090.1137936
DEBUG 2024-10-16 15:58:54,633 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\forms\fields.py first seen with mtime 1727298294.4944515
DEBUG 2024-10-16 15:58:54,634 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\Lib\asyncio\taskgroups.py first seen with mtime 1717692852.0
DEBUG 2024-10-16 15:58:54,634 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\Lib\asyncio\__init__.py first seen with mtime 1717692852.0
DEBUG 2024-10-16 15:58:54,634 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\rest_framework\utils\mediatypes.py first seen with mtime 1727298361.9271345
DEBUG 2024-10-16 15:58:54,634 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\contrib\admin\templatetags\admin_modify.py first seen with mtime 1727298291.073877
DEBUG 2024-10-16 15:58:54,634 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\Lib\re\_constants.py first seen with mtime 1717692852.0
DEBUG 2024-10-16 15:58:54,634 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\utils\encoding.py first seen with mtime 1727298294.681597
DEBUG 2024-10-16 15:58:54,634 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\Lib\asyncio\streams.py first seen with mtime 1717692852.0
DEBUG 2024-10-16 15:58:54,634 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\rest_framework_simplejwt\token_blacklist\models.py first seen with mtime 1727301090.158289
DEBUG 2024-10-16 15:58:54,634 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\Lib\typing.py first seen with mtime 1717692852.0
DEBUG 2024-10-16 15:58:54,634 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\coreschema\schemas.py first seen with mtime 1727300773.5227027
DEBUG 2024-10-16 15:58:54,634 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\coreapi\auth.py first seen with mtime 1727300773.7995162
DEBUG 2024-10-16 15:58:54,634 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\utils\translation\__init__.py first seen with mtime 1727298294.7099342
DEBUG 2024-10-16 15:58:54,634 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\urls\resolvers.py first seen with mtime 1727298294.6615803
DEBUG 2024-10-16 15:58:54,635 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\urllib3\util\timeout.py first seen with mtime 1727300770.1897717
DEBUG 2024-10-16 15:58:54,635 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\Lib\importlib\metadata\__init__.py first seen with mtime 1717692852.0
